replay_id,blue_score,orange_score,score_difference,seconds_remaining,ball_hit_team_num,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,boost_pad_0_respawn,boost_pad_1_respawn,boost_pad_2_respawn,boost_pad_3_respawn,boost_pad_4_respawn,boost_pad_5_respawn,p0_alive,p0_boost_amount,p0_dist_to_ball,p0_forward_x,p0_forward_y,p0_forward_z,p0_pos_x,p0_pos_y,p0_pos_z,p0_team,p0_vel_x,p0_vel_y,p0_vel_z,p1_alive,p1_boost_amount,p1_dist_to_ball,p1_forward_x,p1_forward_y,p1_forward_z,p1_pos_x,p1_pos_y,p1_pos_z,p1_team,p1_vel_x,p1_vel_y,p1_vel_z,p2_alive,p2_boost_amount,p2_dist_to_ball,p2_forward_x,p2_forward_y,p2_forward_z,p2_pos_x,p2_pos_y,p2_pos_z,p2_team,p2_vel_x,p2_vel_y,p2_vel_z,p3_alive,p3_boost_amount,p3_dist_to_ball,p3_forward_x,p3_forward_y,p3_forward_z,p3_pos_x,p3_pos_y,p3_pos_z,p3_team,p3_vel_x,p3_vel_y,p3_vel_z,p4_alive,p4_boost_amount,p4_dist_to_ball,p4_forward_x,p4_forward_y,p4_forward_z,p4_pos_x,p4_pos_y,p4_pos_z,p4_team,p4_vel_x,p4_vel_y,p4_vel_z,p5_alive,p5_boost_amount,p5_dist_to_ball,p5_forward_x,p5_forward_y,p5_forward_z,p5_pos_x,p5_pos_y,p5_pos_z,p5_team,p5_vel_x,p5_vel_y,p5_vel_z,team_0_goal_in_event_window,team_1_goal_in_event_window,time
replay_00002,0,0,0,300,1.0,388.85,-302.56,160.34,563.67,-419.48,-143.27,9.333328247070312,0.0,0.0,0.0,0.0,9.333328247070312,1,32.501904,328.56,0.61270624,0.79012126,-0.017304175,249.5,-592.96,95.53,0,1260.03,1722.51,347.25,1,100.0,4456.45,0.6628,0.74873537,-0.009569799,-3087.13,-3087.7,17.03,0,925.02,1201.62,0.04,1,12.156863,671.67,0.91641337,0.40022025,-0.0032101572,996.75,-23.66,98.58,0,1452.78,177.29,-42.58,1,0.0,1063.59,-0.1986345,-0.94570816,0.2572558,-654.81,-104.07,109.28,1,-849.78,-375.81,-77.93,1,100.0,4732.21,-0.275592,-0.96122676,-0.009605789,3625.41,3146.78,17.02,1,-348.43,-1774.62,0.17,1,8.595049,301.07,0.49934074,-0.8659383,0.028456243,328.1,-9.67,126.16,1,1319.29,-1864.16,272.66,0,0,157.41322
replay_00002,1,0,-1,16,0.5,0.0,0.0,92.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,33.333332,3839.71,-0.0344044,0.999363,-0.009484453,254.68,-3830.51,17.01,0,-11.72,162.22,0.26,1,29.20047,3263.54,0.7070674,0.70708245,-0.009498501,-2036.8,-2548.8,17.01,0,188.59,188.59,0.03,1,29.20047,3834.52,-0.073831916,0.99722534,-0.009514581,-258.95,-3825.02,17.01,0,-54.19,251.8,0.04,1,29.20047,3263.59,-0.68491244,-0.728564,-0.009463573,2037.76,2548.1,17.01,1,-169.72,-203.15,0.03,1,33.333332,3839.9,0.058985595,-0.9982134,-0.009521958,-253.75,3830.76,17.01,1,40.58,-155.07,0.27,1,29.20047,3834.85,0.06849373,-0.99760616,-0.009522322,258.73,3825.36,17.01,1,46.84,-241.61,0.04,0,0,457.76074
replay_00002,1,0,-1,16,0.5,0.0,0.0,92.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,31.37784,3760.45,-0.0458107,0.99890524,-0.009470731,251.02,-3751.3,17.01,0,-21.41,469.73,0.26,1,20.885962,3135.44,0.6723182,0.74020135,-0.009495652,-1947.11,-2456.42,17.01,0,486.96,574.24,0.07,1,20.885962,3703.11,-0.5929896,0.8051541,-0.00950359,-320.66,-3688.42,17.01,0,-464.5,644.42,0.05,1,20.885962,3135.18,-0.64381033,-0.7651263,-0.009490545,1953.0,2451.41,17.01,1,-476.59,-590.56,0.04,1,28.603842,3756.58,0.16461742,-0.9863119,-0.009482758,-239.13,3748.2,17.01,1,91.47,-554.92,0.03,1,20.885962,3728.28,0.4941344,-0.8693334,-0.009527387,299.33,3715.47,17.01,1,349.57,-609.47,0.05,0,0,458.01047
replay_00002,1,0,-1,16,0.5,0.0,0.0,92.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23.077621,3550.2,0.3239141,0.93040985,-0.1715146,256.07,-3540.86,66.59,0,-188.64,1359.42,286.77,1,24.28572,2825.86,0.27622473,0.88576007,-0.37300006,-1737.49,-2228.58,86.65,0,1119.78,1084.4,187.66,1,12.585747,3597.5,-0.9012984,0.4330943,-0.009518542,-463.94,-3566.65,17.01,0,-946.21,514.94,0.05,1,24.28572,2833.98,-0.3776965,-0.8345948,-0.40099484,1755.17,2225.04,89.16,1,-1121.83,-1107.28,204.38,1,20.303623,3531.01,-0.2847214,-0.9421609,-0.17682362,-226.32,3523.68,71.24,1,276.43,-1417.22,274.71,1,12.585747,3588.38,0.9189916,-0.39416197,-0.009530475,478.77,3555.49,17.01,1,979.45,-481.32,0.05,0,0,458.25974
replay_00002,1,0,-1,16,0.5,0.0,0.0,92.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23.92157,3179.46,0.4747874,0.69246805,-0.5431988,208.0,-3172.65,95.8,0,-177.47,1385.45,-16.07,1,15.203587,2321.27,0.2530593,0.887455,-0.38520738,-1388.92,-1859.88,86.87,0,1201.04,1365.82,-25.16,1,10.567094,3628.99,-0.9417597,-0.33615088,-0.009556513,-840.95,-3529.4,17.01,0,-1147.32,-329.38,0.21,1,15.203587,2428.5,-0.32821134,-0.836748,-0.4383266,1472.92,1930.83,95.44,1,-1209.26,-1320.42,-26.51,1,14.901961,3106.95,-0.4316703,-0.79739153,-0.421696,-163.8,3102.63,95.65,1,200.49,-1585.44,-16.18,1,3.5036106,3662.72,0.97338796,0.081730306,-0.21409345,863.07,3559.51,69.21,1,1549.92,585.58,208.93,0,0,458.5325
replay_00023,0,0,0,282,1.0,-3613.09,-364.41,770.53,585.4,-309.07,474.1,3.13703727722168,0.0,8.828277587890625,9.363922119140623,1.8648815155029297,0.0,1,27.058825,1074.66,-0.08145214,-0.75310737,0.652836,-4078.82,429.07,215.22,0,-267.95,-1518.59,1273.19,1,100.0,5084.3,0.7945061,-0.010374844,0.60716754,-1867.03,-5103.31,183.81,0,572.78,-10.65,426.96,1,14.901961,3891.84,-0.10726536,-0.9941809,-0.00992337,-3163.91,-4156.09,17.01,0,-100.04,-786.03,0.31,1,93.725494,7623.91,-0.2561567,-0.9506915,-0.17484124,3970.29,-695.82,58.85,1,-262.78,-1134.61,-169.61,1,92.83779,286.64,0.65019387,-0.073913455,0.7561645,-3835.65,-282.24,609.67,1,451.72,-362.94,388.0,1,21.176472,4704.98,-0.62696624,-0.7743413,-0.08549209,-3624.81,4288.09,69.85,1,-839.84,-253.94,334.49,0,0,34.341022
replay_00023,0,0,0,282,1.0,-3501.24,-423.44,848.68,581.95,-307.23,347.01,2.9361705780029297,0.0,8.627410888671875,9.163055419921877,1.6640148162841797,0.0,1,27.058825,937.32,0.004840136,-0.9109415,0.41250724,-4079.74,158.57,395.72,0,14.79,-1713.37,865.9,1,100.0,5052.46,0.99962056,-0.009090895,0.026002206,-1696.49,-5102.99,238.72,0,808.07,0.62,11.51,1,14.901961,3965.18,0.26719204,-0.9635956,-0.009586985,-3154.62,-4284.89,17.01,0,191.19,-715.49,0.31,1,90.9388,7443.35,-0.64915043,-0.752985,-0.10778416,3881.32,-891.07,22.47,1,-706.05,-974.79,-144.33,1,86.149704,313.47,0.79302925,0.29005116,0.53570044,-3749.69,-341.87,675.82,1,577.48,-342.26,399.16,1,21.176472,4711.64,-0.3879224,-0.82567537,-0.40960523,-3748.39,4224.72,118.56,1,-653.12,-465.43,197.06,0,1,34.54189
replay_00023,2,1,-1,245,0.5,0.0,0.0,92.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,32.775993,3848.75,-0.002219081,0.999952,-0.009544258,255.91,-3839.49,17.01,0,-6.61,41.22,0.14,1,32.775993,3278.74,0.7066952,0.70745367,-0.009552464,-2047.63,-2559.61,17.01,0,28.81,31.65,0.13,1,32.775993,3848.77,-0.0023869276,0.99995166,-0.009544257,-256.09,-3839.49,17.01,0,-6.93,41.05,0.14,1,32.775993,3848.77,0.0023868084,-0.99995166,-0.009544257,256.09,3839.49,17.01,1,6.93,-41.05,0.14,1,32.775993,3278.74,-0.707067,-0.7070822,-0.009538371,2047.62,2559.62,17.01,1,-30.41,-30.41,0.13,1,32.775993,3848.73,-7.748604e-06,-0.99995446,-0.009544264,-256.0,3839.46,17.01,1,0.0,-43.0,0.13,0,0,123.13879
replay_00023,2,1,-1,245,0.5,0.0,0.0,92.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,26.087929,3814.71,-0.107167125,0.9941957,-0.009491835,250.58,-3805.72,17.01,0,-44.11,386.85,0.02,1,26.087929,3237.54,0.6224092,0.7826346,-0.009479074,-2023.01,-2526.53,17.01,0,264.72,334.0,0.02,1,26.087929,3809.63,-0.19168735,0.98141,-0.009504298,-265.43,-3799.62,17.01,0,-116.64,404.93,0.04,1,26.087929,3816.1,0.16220386,-0.9867115,-0.009501447,263.56,3806.23,17.01,1,99.95,-372.8,0.04,1,26.087929,3243.67,-0.70706743,-0.7070825,-0.009488533,2022.66,2534.66,17.01,1,-281.72,-281.72,0.03,1,26.087929,3807.66,0.100812376,-0.99486023,-0.009487784,-251.12,3798.62,17.01,1,45.55,-420.62,0.01,0,0,123.33947
replay_00023,2,1,-1,245,0.5,0.0,0.0,92.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19.39983,3645.04,-0.12226999,0.9924515,-0.009496596,230.41,-3636.96,17.01,0,-108.34,881.56,0.02,1,30.815208,3074.47,0.5907957,0.80676526,-0.009507307,-1923.6,-2397.32,21.97,0,506.13,725.57,299.63,1,19.39983,3703.1,-0.5928631,0.80524725,-0.009503594,-320.66,-3688.41,17.01,0,-464.04,645.04,0.05,1,19.39983,3683.1,0.65674007,-0.75405693,-0.009517018,337.78,3666.8,17.01,1,543.3,-649.95,0.05,1,31.207365,3080.92,-0.7447485,-0.6672777,-0.009501283,1905.03,2420.17,17.01,1,-662.15,-565.92,0.06,1,19.39983,3645.1,0.1205101,-0.9926397,-0.011987375,-232.42,3637.31,40.43,1,104.3,-866.82,332.56,0,0,123.54015
replay_00023,2,1,-1,245,0.5,0.0,0.0,92.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16.862745,3489.59,-0.25556183,0.9667458,-0.009530004,204.41,-3482.83,19.48,0,-257.38,1004.05,295.98,1,24.12713,2873.24,0.29141027,0.93185866,-0.21614692,-1794.78,-2243.63,72.72,0,1166.63,1040.42,236.35,1,12.711754,3556.46,-0.8515276,0.5242228,-0.009558222,-489.76,-3521.76,17.01,0,-952.71,638.07,0.05,1,12.711754,3583.64,0.9398523,-0.3414477,-0.009544022,505.65,3546.98,17.01,1,1036.89,-441.52,0.05,1,24.519287,2782.05,-0.8124689,-0.4560405,-0.36320984,1713.56,2191.57,69.76,1,-972.64,-1266.0,136.51,1,14.117647,3451.34,0.0994035,-0.8150842,-0.57075095,-209.21,3444.99,85.39,1,183.51,-1517.91,219.1,0,0,123.74084
replay_00023,2,1,-1,245,0.5,0.0,0.0,92.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,29.019608,2516.74,-0.7333777,0.6576725,0.17211619,112.61,-2514.21,87.93,0,-114.92,1582.86,-15.32,1,4.062563,1760.79,0.47690794,0.8650578,0.15567239,-1032.96,-1425.93,83.0,0,1358.97,1634.43,-15.71,1,5.0967236,3892.21,-0.96614766,-0.048179626,-0.25345126,-1404.58,-3629.92,82.5,0,-1863.37,-682.99,-22.42,1,0.0,4000.33,0.99359936,0.100953616,-0.050683193,1401.7,3746.68,76.56,1,1594.07,505.35,-15.47,1,4.4547195,1673.58,-0.71686125,-0.6971514,-0.009483606,995.33,1345.23,69.4,1,-1425.39,-1600.06,-76.58,1,26.27451,2525.97,0.027850986,-0.2236295,0.9742763,-98.03,2524.07,92.28,1,181.53,-1503.72,-33.35,0,0,124.3429
replay_00017,1,0,-1,175,0.5,0.0,0.0,92.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,30.51549,3279.09,0.7070669,0.70708215,-0.009552469,-2047.87,-2559.87,17.01,0,15.27,15.27,0.19,1,30.51549,3837.94,-0.02398622,0.9996673,-0.009490635,-256.92,-3828.58,17.01,0,-24.76,223.09,0.04,1,30.51549,3849.16,-0.00060272217,0.9999543,-0.009544263,255.98,-3839.89,17.01,0,-2.62,12.79,0.27,1,30.51549,3838.23,0.05396152,-0.9984976,-0.009520997,-253.91,3829.07,17.01,1,44.0,-215.18,0.04,1,30.51549,3849.1,0.00080114603,-0.99995416,-0.009544263,256.03,3839.83,17.01,1,3.38,-20.67,0.19,1,30.51549,3267.79,-0.70706743,-0.7070825,-0.009488533,2039.83,2551.83,17.01,1,-160.93,-160.93,0.03,0,0,163.9273
replay_00017,1,0,-1,175,0.5,0.0,0.0,92.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23.67294,3171.28,0.7070674,0.70708233,-0.009502629,-1971.13,-2483.13,17.01,0,474.64,474.65,0.03,1,23.67294,3772.79,-0.28606167,0.9581642,-0.009493244,-273.33,-3762.11,17.01,0,-187.13,542.05,0.04,1,23.67294,3745.58,-0.107080705,0.9942051,-0.0094846245,244.79,-3736.8,17.01,0,-68.49,653.29,0.03,1,23.67294,3765.34,0.21510893,-0.97654396,-0.009495655,-238.44,3757.02,17.01,1,122.85,-583.28,0.01,1,23.67294,3770.44,0.35444885,-0.93502706,-0.009514388,279.97,3759.27,17.01,1,228.97,-542.71,0.04,1,23.67294,3197.73,-0.70706743,-0.7070825,-0.009488533,1989.96,2501.96,17.01,1,-417.18,-417.19,0.03,0,0,164.13278
replay_00017,1,0,-1,175,0.5,0.0,0.0,92.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,28.53951,3049.97,0.7070674,0.70708233,-0.009502629,-1884.74,-2396.74,17.01,0,662.18,662.19,0.03,1,16.82267,3636.32,-0.7344396,0.67860717,-0.00953213,-367.61,-3616.9,17.01,0,-671.11,666.59,0.05,1,21.568628,3629.56,-0.13487625,0.9908169,-0.009511832,231.34,-3621.39,17.01,0,-133.56,822.18,0.3,1,21.568628,3630.31,0.22497316,-0.9743184,-0.009529944,-208.45,3623.53,17.01,1,186.66,-812.01,0.25,1,16.82267,3644.75,0.77126193,-0.63644665,-0.009525518,380.12,3624.08,17.01,1,706.99,-627.77,0.05,1,28.53951,3065.39,-0.7207446,-0.6931357,-0.009496289,1895.24,2408.25,21.97,1,-666.47,-614.36,299.62,0,0,164.33849
replay_00017,1,0,-1,175,0.5,0.0,0.0,92.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,21.731281,2694.15,0.7945883,0.5054387,-0.3363944,-1665.21,-2117.89,85.29,0,990.5,1388.08,163.17,1,10.014442,3559.4,-0.9410249,0.33820277,-0.009540339,-514.86,-3521.15,17.01,0,-1064.16,451.29,0.05,1,21.568628,3363.17,-0.53831553,0.73228323,-0.41710633,183.09,-3358.18,86.31,0,-124.24,1392.3,259.28,1,17.565191,3414.77,0.34343636,-0.93892825,-0.021570038,-153.48,3411.04,48.79,1,305.85,-1024.53,328.28,1,10.014442,3564.19,0.9188784,-0.3944253,-0.009551315,547.9,3521.01,17.01,1,1086.03,-490.27,0.03,1,21.731281,2718.34,-0.8120994,-0.40075484,-0.42413458,1673.02,2142.49,80.94,1,-1029.52,-1287.33,24.22,0,0,164.5429
