team,level_1,time_bin,pred_mean,pred_std,pred_min,pred_max,sample_count,success_rate,,,,,
Orange,0,0.0-0.2,0.851032,0.11474532,0.33898836,0.9976454,2511,0.992433294,2492,46864,8.728000927,17151,0.365973882
Orange,1,0.2-0.4,0.75987536,0.13254717,0.085591905,0.9955692,1956,0.964723926,1887,,,,
Orange,2,0.4-0.6,0.6782341,0.13298585,0.13022965,0.9887611,1950,0.910769231,1776,,,,
Orange,3,0.6-0.8,0.62041676,0.13089639,0.11142166,0.9885329,1793,0.832682655,1493,,,,
Orange,4,0.8-1.0,0.5809377,0.13150387,0.09705399,0.98512447,1930,0.729533679,1408,,,,
Orange,5,1.0-1.2,0.5459438,0.13017514,0.1689479,0.9788985,1953,0.627240143,1225,,,,
Orange,6,1.2-1.4,0.5182561,0.13355708,0.11475228,0.96663535,1954,0.536335722,1048,,,,
Orange,7,1.4-1.6,0.49487248,0.13340732,0.072132334,0.94527113,1810,0.471823204,854,,,,
Orange,8,1.6-1.8,0.47303542,0.13533367,0.082923144,0.92085546,1937,0.404233351,783,,,,
Orange,9,1.8-2.0,0.45013008,0.13951455,0.054360412,0.953699,1944,0.336934156,655,,,,
Orange,10,2.0-2.2,0.43001753,0.14330404,0.047492888,0.9747546,1890,0.295767196,559,,,,
Orange,11,2.2-2.4,0.40788507,0.14597344,0.036341496,0.9433815,1707,0.267135325,456,,,,
Orange,12,2.4-2.6,0.39321935,0.14568485,0.03256553,0.89146584,1909,0.231534835,442,,,,
Orange,13,2.6-2.8,0.3756183,0.14596626,0.03131219,0.8724439,1935,0.198966408,385,,,,
Orange,14,2.8-3.0,0.3602132,0.14635767,0.014261798,0.8754983,1838,0.170293798,313,,,,
Orange,15,3.0-3.2,0.34337604,0.14374599,0.005704995,0.7865442,1852,0.136069114,252,,,,
Orange,16,3.2-3.4,0.32589266,0.14085846,0.002925499,0.8086741,1928,0.109439834,211,,,,
Orange,17,3.4-3.6,0.31231472,0.14048572,0.001329615,0.8541347,1908,0.092243187,176,,,,
Orange,18,3.6-3.8,0.2969148,0.14175296,0.002609508,0.7714011,1838,0.087051143,160,,,,
Orange,19,3.8-4.0,0.28300068,0.14348373,0.001638201,0.9303202,1870,0.068983957,129,,,,
Orange,20,4.0-4.2,0.27015784,0.1441549,0.00107553,0.8791929,1931,0.065769032,127,,,,
Orange,21,4.2-4.4,0.25698608,0.14432104,0.000813355,0.8775686,1880,0.054255319,102,,,,
Orange,22,4.4-4.6,0.24570894,0.14205335,0.000642389,0.9546289,1780,0.047191011,84,,,,
Orange,23,4.6-4.8,0.23135348,0.145794,0.001639502,0.91726893,1722,0.041231127,71,,,,
Orange,24,4.8-5.0,0.23235725,0.1557983,0.002577512,0.86198914,1138,0.055360281,63,,,,
Blue,0,0.0-0.2,0.86214554,0.11081151,0.31187516,0.99952716,2804,0.995720399,2792,52816,9.191825985,20304,0.384428961
Blue,1,0.2-0.4,0.77950484,0.12952729,0.24664886,0.9977189,2186,0.978042086,2138,,,,
Blue,2,0.4-0.6,0.7008786,0.13770334,0.26761693,0.9954978,2198,0.925386715,2034,,,,
Blue,3,0.6-0.8,0.6412119,0.13876657,0.19767301,0.9939566,2016,0.851686508,1717,,,,
Blue,4,0.8-1.0,0.5975199,0.13742536,0.09866792,0.9933577,2175,0.762298851,1658,,,,
Blue,5,1.0-1.2,0.5576847,0.13775426,0.056010485,0.99003077,2217,0.652232747,1446,,,,
Blue,6,1.2-1.4,0.5306314,0.13823843,0.10921863,0.989376,2203,0.57512483,1267,,,,
Blue,7,1.4-1.6,0.50813353,0.14108476,0.0813867,0.9873755,2025,0.50962963,1032,,,,
Blue,8,1.6-1.8,0.48633513,0.13891406,0.013058431,0.9858626,2192,0.442518248,970,,,,
Blue,9,1.8-2.0,0.46636006,0.14200991,0.059463017,0.97795594,2176,0.387867647,844,,,,
Blue,10,2.0-2.2,0.4444684,0.14306243,0.048657145,0.9683813,2127,0.332393042,707,,,,
Blue,11,2.2-2.4,0.426033,0.14355873,0.0274005,0.933009,1959,0.280755487,550,,,,
Blue,12,2.4-2.6,0.40839842,0.14303151,0.024663981,0.92633647,2152,0.242565056,522,,,,
Blue,13,2.6-2.8,0.38902545,0.14601232,0.028542692,0.9698366,2179,0.214777421,468,,,,
Blue,14,2.8-3.0,0.37095928,0.1457065,0.018749256,0.9346296,2081,0.181643441,378,,,,
Blue,15,3.0-3.2,0.35371426,0.14748985,0.01401328,0.90924567,2086,0.154841802,323,,,,
Blue,16,3.2-3.4,0.33967313,0.14775382,0.002586404,0.90679264,2183,0.133302794,291,,,,
Blue,17,3.4-3.6,0.32285383,0.14870428,0.001574204,0.8988133,2154,0.114206128,246,,,,
Blue,18,3.6-3.8,0.30803403,0.15149593,0.001099904,0.9589174,2090,0.097129187,203,,,,
Blue,19,3.8-4.0,0.29219407,0.14913598,0.001065425,0.9075066,2128,0.081766917,174,,,,
Blue,20,4.0-4.2,0.27543616,0.14747024,0.001220338,0.8795903,2191,0.071656778,157,,,,
Blue,21,4.2-4.4,0.26351944,0.1462918,0.000550547,0.8707026,2096,0.0625,131,,,,
Blue,22,4.4-4.6,0.25068104,0.14351976,0.000780174,0.81768095,2008,0.055278884,111,,,,
Blue,23,4.6-4.8,0.23820396,0.14373067,0.000892028,0.8079344,1958,0.049540347,97,,,,
Blue,24,4.8-5.0,0.23198806,0.1429754,0.002328762,0.7621443,1232,0.038961039,48,,,,
