Training on cpu
Epoch 10, Train Acc: 0.6600, Val Acc: 0.6842, Best Val Acc: 0.6842 (Epoch 1)
Epoch 20, Train Acc: 0.6600, Val Acc: 0.6842, Best Val Acc: 0.6842 (Epoch 1)
Epoch 30, Train Acc: 0.7200, Val Acc: 0.6579, Best Val Acc: 0.7105 (Epoch 22)
Epoch 40, Train Acc: 0.7133, Val Acc: 0.6842, Best Val Acc: 0.7632 (Epoch 34)
Epoch 50, Train Acc: 0.7467, Val Acc: 0.6842, Best Val Acc: 0.7632 (Epoch 34)
Epoch 60, Train Acc: 0.7400, Val Acc: 0.6842, Best Val Acc: 0.7632 (Epoch 34)
Epoch 70, Train Acc: 0.7600, Val Acc: 0.7105, Best Val Acc: 0.7632 (Epoch 34)
Epoch 80, Train Acc: 0.7267, Val Acc: 0.6842, Best Val Acc: 0.7632 (Epoch 34)
Epoch 90, Train Acc: 0.7467, Val Acc: 0.7368, Best Val Acc: 0.7632 (Epoch 34)
Epoch 100, Train Acc: 0.7600, Val Acc: 0.7105, Best Val Acc: 0.7632 (Epoch 34)
Epoch 110, Train Acc: 0.7600, Val Acc: 0.7368, Best Val Acc: 0.7632 (Epoch 34)
Epoch 120, Train Acc: 0.7867, Val Acc: 0.7368, Best Val Acc: 0.7632 (Epoch 34)
Epoch 130, Train Acc: 0.7867, Val Acc: 0.7368, Best Val Acc: 0.7632 (Epoch 34)
Epoch 140, Train Acc: 0.7533, Val Acc: 0.7105, Best Val Acc: 0.7632 (Epoch 34)
Epoch 150, Train Acc: 0.7533, Val Acc: 0.6579, Best Val Acc: 0.7632 (Epoch 34)
Epoch 160, Train Acc: 0.7867, Val Acc: 0.7895, Best Val Acc: 0.7895 (Epoch 160)
Epoch 170, Train Acc: 0.7400, Val Acc: 0.6316, Best Val Acc: 0.7895 (Epoch 160)
Epoch 180, Train Acc: 0.7400, Val Acc: 0.6316, Best Val Acc: 0.7895 (Epoch 160)
Epoch 190, Train Acc: 0.7400, Val Acc: 0.6579, Best Val Acc: 0.7895 (Epoch 160)
Epoch 200, Train Acc: 0.7467, Val Acc: 0.6579, Best Val Acc: 0.7895 (Epoch 160)
Epoch 210, Train Acc: 0.7533, Val Acc: 0.6579, Best Val Acc: 0.7895 (Epoch 160)
Epoch 220, Train Acc: 0.7667, Val Acc: 0.7105, Best Val Acc: 0.7895 (Epoch 160)
Epoch 230, Train Acc: 0.7867, Val Acc: 0.7105, Best Val Acc: 0.7895 (Epoch 160)
Epoch 240, Train Acc: 0.7467, Val Acc: 0.6579, Best Val Acc: 0.7895 (Epoch 160)
