seconds_remaining,p0_pos_x,p0_pos_y,p0_pos_z,p0_vel_x,p0_vel_y,p0_vel_z,p0_boost_amount,p0_team,p1_pos_x,p1_pos_y,p1_pos_z,p1_vel_x,p1_vel_y,p1_vel_z,p1_boost_amount,p1_team,p2_pos_x,p2_pos_y,p2_pos_z,p2_vel_x,p2_vel_y,p2_vel_z,p2_boost_amount,p2_team,p3_pos_x,p3_pos_y,p3_pos_z,p3_vel_x,p3_vel_y,p3_vel_z,p3_boost_amount,p3_team,p4_pos_x,p4_pos_y,p4_pos_z,p4_vel_x,p4_vel_y,p4_vel_z,p4_boost_amount,p4_team,p5_pos_x,p5_pos_y,p5_pos_z,p5_vel_x,p5_vel_y,p5_vel_z,p5_boost_amount,p5_team,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_hit_team_num,p0_alive,p1_alive,p2_alive,p3_alive,p4_alive,p5_alive,p0_forward_x,p0_forward_y,p0_forward_z,p1_forward_x,p1_forward_y,p1_forward_z,p2_forward_x,p2_forward_y,p2_forward_z,p3_forward_x,p3_forward_y,p3_forward_z,p4_forward_x,p4_forward_y,p4_forward_z,p5_forward_x,p5_forward_y,p5_forward_z,boost_pad_0_respawn,boost_pad_1_respawn,boost_pad_2_respawn,boost_pad_3_respawn,boost_pad_4_respawn,boost_pad_5_respawn,team_0_goal_prev_5s,team_1_goal_prev_5s,p0_dist_to_ball,p1_dist_to_ball,p2_dist_to_ball,p3_dist_to_ball,p4_dist_to_ball,p5_dist_to_ball
300,256.0,-3840.0,17.01,0.0,0.0,0.27,33.33,0,2047.62,-2559.62,17.01,-30.41,30.41,0.13,32.47,0,-256.0,-3839.46,17.01,0.0,43.0,0.13,32.47,0,-2047.21,2559.28,17.01,47.65,-42.46,0.09,32.47,1,-256.09,3839.37,17.01,-7.28,-37.47,0.27,33.33,1,256.0,3840.0,17.01,0.0,0.0,0.27,33.33,1,0.0,0.0,92.75,0.0,0.0,0.0,0.5,1,1,1,1,1,1,-0.008132969,0.9999669,-0.0,-0.7038483,0.7103503,-0.0,-0.008132969,0.9999669,-0.0,0.7130972,-0.7010652,-0.0,-0.008132969,-0.9999669,-0.0,-0.008132969,-0.9999669,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3849.27,3278.74,3848.73,3278.22,3848.65,3849.27
300,256.0,-3840.0,17.01,0.0,0.0,0.27,33.33,0,2013.17,-2518.85,17.01,-302.12,374.1,0.02,25.12,0,-258.72,-3785.98,17.01,-65.37,470.89,0.07,25.12,0,-2006.22,2526.01,17.01,369.33,-311.26,0.02,25.12,1,-265.4,3806.1,17.01,-107.3,-340.43,0.05,30.29,1,256.0,3840.0,17.01,0.0,0.0,0.27,33.33,1,0.0,0.0,92.75,0.0,0.0,0.0,0.5,1,1,1,1,1,1,-0.008132969,0.9999669,-0.0,-0.62518674,0.7804752,-0.0,-0.06613217,0.9978109,-0.0,0.76894224,-0.6393183,-0.0,-0.18808885,-0.982152,-0.0,-0.008132969,-0.9999669,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3849.27,3225.4,3795.57,3226.67,3816.09,3849.27
300,256.0,-3840.0,17.01,0.0,0.0,0.27,33.33,0,1911.13,-2397.46,17.01,-624.56,634.38,0.06,29.94,0,-311.13,-3640.66,17.01,-447.04,750.47,0.07,17.82,0,-1871.5,2414.01,17.01,718.49,-594.87,0.02,29.94,1,-344.42,3667.64,17.01,-516.58,-672.0,0.0,22.99,1,256.1,3815.4,17.01,8.41,-257.22,0.28,33.33,1,0.0,0.0,92.75,0.0,0.0,0.0,0.5,1,1,1,1,1,1,-0.008132969,0.9999669,-0.0,-0.6945659,0.7194291,-0.0,-0.544765,0.8385887,-0.0,0.76894224,-0.6393183,-0.0,-0.6513634,-0.7587658,-0.0,-0.008132969,-0.9999669,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3849.27,3066.92,3654.72,3055.44,3684.55,3824.74
300,256.0,-3840.0,17.01,0.0,0.0,0.27,33.33,0,1732.13,-2177.92,81.69,-916.6,1342.28,214.66,22.6,0,-477.86,-3482.42,17.01,-1009.7,582.87,0.07,10.48,0,-1672.9,2168.92,76.71,899.19,-1384.2,165.91,22.6,1,-461.58,3555.93,17.01,-879.23,-633.96,0.05,15.64,1,262.72,3708.19,17.01,-41.64,-606.78,0.07,30.37,1,0.0,0.0,92.75,0.0,0.0,0.0,0.5,1,1,1,1,1,1,-0.008132969,0.9999669,-0.0,-0.88467604,0.36866572,-0.28536633,-0.89227176,0.4514988,-0.0,0.7940736,-0.51978636,-0.3150705,-0.8344784,-0.5510407,-0.0,-0.036483657,-0.9993343,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3849.27,2782.76,3515.87,2739.17,3586.56,3718.26
300,256.0,-3840.0,17.01,0.0,0.0,0.27,33.33,0,1529.27,-1901.68,89.04,-1104.35,1416.51,-22.95,15.38,0,-720.46,-3408.83,17.01,-1365.32,190.95,0.0,3.26,0,-1510.77,1930.19,79.7,1039.57,-1475.88,-23.1,15.38,1,-714.49,3458.55,17.01,-1314.68,-178.62,0.05,8.43,1,242.3,3581.84,17.01,-187.91,-887.29,0.01,23.16,1,0.0,0.0,92.75,0.0,0.0,0.0,0.5,1,1,1,1,1,1,-0.008132969,0.9999669,-0.0,-0.8864431,0.34691265,-0.30638266,-0.99681526,0.07974522,-0.0,0.8046025,-0.509615,-0.3048071,-0.99681526,-0.07974522,-0.0,-0.21872458,-0.9757866,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3849.27,2440.3,3484.96,2451.17,3532.39,3590.82
300,256.0,-3840.0,17.01,0.0,0.0,0.27,33.33,0,1244.46,-1561.25,84.3,-1331.43,1498.37,-15.38,8.21,0,-1003.15,-3386.8,17.01,-1567.34,66.36,0.03,8.35,0,-1247.34,1573.02,76.96,1225.08,-1592.48,-21.63,8.21,1,-1065.01,3502.65,74.2,-1737.73,662.62,187.23,13.09,1,182.56,3334.03,17.01,-302.8,-1214.78,0.01,15.99,1,0.0,0.0,92.75,0.0,0.0,0.0,0.5,1,1,1,1,1,1,-0.008132969,0.9999669,-0.0,-0.9193533,0.38947877,0.055639822,-0.999201,0.03996804,-0.0,0.81686455,-0.5271383,-0.2342171,-0.9124054,0.2638257,-0.31290954,-0.2456079,-0.96936923,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3849.27,1996.56,3533.05,2007.61,3661.03,3339.88
300,256.0,-3840.0,17.01,0.0,0.0,0.27,33.33,0,908.06,-1197.28,77.92,-1537.36,1627.79,-68.06,0.97,0,-1461.62,-3446.44,17.01,-1729.53,-517.49,0.0,1.11,0,-937.29,1185.04,67.8,1423.0,-1732.76,-100.59,0.97,1,-1400.5,3628.66,84.55,-1913.98,709.06,-23.7,5.85,1,121.74,3090.63,17.01,-354.5,-1420.32,0.01,8.75,1,0.0,0.0,92.75,0.0,0.0,0.0,0.5,1,1,1,1,1,1,-0.008132969,0.9999669,-0.0,-0.7594815,0.6331699,0.1492774,-0.9496481,-0.31331855,-0.0,0.76886284,-0.6255258,-0.13254191,-0.9124887,0.22981344,-0.33845252,-0.2456079,-0.96936923,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3849.27,1502.76,3744.33,1511.11,3889.56,3093.95
300,256.0,-3840.0,17.01,0.0,0.0,0.27,33.33,0,580.81,-852.24,50.31,-1577.23,1661.96,-196.59,0.0,0,-1824.1,-3571.95,17.01,-1729.13,-640.77,0.25,0.0,0,-633.78,818.32,31.04,1461.93,-1759.89,-230.17,0.0,1,-1929.54,3814.81,79.85,-2153.55,718.0,-14.8,0.0,1,37.28,2687.47,17.01,-302.95,-1691.23,0.01,13.75,1,0.0,0.0,92.75,0.0,0.0,0.0,0.5,1,1,1,1,1,1,-0.008132969,0.9999669,-0.0,-0.71789545,0.6931334,0.06474657,-0.93380487,-0.35778272,-0.0,0.6987333,-0.7105559,-0.08295829,-0.9918995,-0.04840469,0.1174409,-0.1852516,-0.9826911,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3849.27,1032.21,4011.47,1036.89,4275.05,2688.8
300,256.0,-3840.0,17.01,0.0,0.0,0.27,33.33,0,234.24,-472.58,16.16,-1428.76,1772.29,11.07,0.0,0,-2191.62,-3756.35,17.01,-1516.89,-1006.0,0.26,0.0,0,-364.52,496.92,19.04,1471.47,-1741.53,303.02,0.0,1,-2412.36,3976.48,73.82,-2138.7,718.81,-70.44,0.0,1,-15.59,2279.12,17.01,-141.01,-1930.39,0.01,6.44,1,0.0,0.0,92.75,0.0,0.0,0.0,0.5,1,1,1,1,1,1,-0.008132969,0.9999669,-0.0,-0.58926266,0.80794156,-0.0,-0.807042,-0.5904941,-0.0,0.64617497,-0.7631893,-0.0,-0.9899368,-0.056034155,0.12994301,-0.06517784,-0.9978737,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3849.27,532.98,4349.61,620.68,4651.05,2280.43
300,256.0,-3840.0,17.01,0.0,0.0,0.27,33.33,0,19.23,-137.41,61.2,-53.22,719.77,160.43,0.0,0,-2500.06,-3975.47,17.01,-1517.37,-987.6,0.28,0.0,0,-52.14,145.24,82.81,1769.48,-1007.75,227.81,0.0,1,-2768.85,4096.28,52.62,-2141.45,718.66,-178.32,100.0,1,-37.42,1874.9,17.01,-89.6,-1941.07,0.25,6.67,1,121.85,18.51,142.8,2602.63,1093.13,833.64,0.0,1,1,1,1,1,1,-0.008132969,0.9999669,-0.0,0.09888422,0.9492888,0.29845065,-0.85188025,-0.52373666,-0.0,0.57385486,-0.81776816,-0.04411198,-0.99190813,-0.05320271,0.11527254,-0.037011687,-0.99931484,-0.0,0.0,0.0,0.0,0.0,10.0,0.0,0,0,3862.89,203.72,4779.34,223.45,4999.25,1867.45
